ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_minutes,day_of_week,hour_of_day,month,season,is_weekend,trip_distance_km,is_round_trip,is_extreme_duration
95ADDA3249C99A4E,classic_bike,2026-04-01 00:54:00,2026-04-01 01:00:00,Indiana Ave & 26Th St,CHI00237,Calumet Ave & 33Rd St,CHI00224,41.845687,-87.622481,41.83472,-87.61797,casual,6.0,4,0,4,Spring,False,1.2754480077310033,False,False
5F091FE593E5157F,electric_bike,2026-04-01 00:54:00,2026-04-01 01:04:00,Halsted St & Willow St,CHI00407,Broadway & Belmont Ave,CHI00239,41.913865,-87.648755,41.940106,-87.645451,member,10.0,4,0,4,Spring,False,2.9306406692443216,False,False
56BA419F628A86D3,electric_bike,2026-04-01 00:48:00,2026-04-01 01:05:00,Public Rack - Tripp Ave & North Ave,CHI01509,,,41.90995395,-87.73271446,41.86,-87.71,casual,17.0,4,0,4,Spring,False,5.864270994691061,False,False
F8D88D57BBDFB121,electric_bike,2026-04-01 00:18:00,2026-04-01 01:06:00,Michigan Ave & Jackson Blvd,CHI00452,Wells St & Randolph St,CHI00266,41.878556,-87.624146,41.884295,-87.633963,casual,48.0,4,0,4,Spring,False,1.0333237607169057,False,False
112C58EBF4F39A7A,classic_bike,2026-04-01 00:52:00,2026-04-01 01:13:00,Burnham Harbor,CHI00558,Fort Dearborn Dr & 31St St,CHI00222,41.85741179,-87.61379153,41.838556,-87.608218,casual,21.0,4,0,4,Spring,False,2.146892794700755,False,False
2EDD3A70F45653E9,classic_bike,2026-04-01 01:02:00,2026-04-01 01:13:00,Dearborn Pkwy & Delaware Pl,CHI00306,Lakeview Ave & Fullerton Pkwy,CHI00469,41.898969,-87.629912,41.925858,-87.638973,member,11.0,4,1,4,Spring,False,3.0824969751061926,False,False
4DA0CB327337D1F1,electric_bike,2026-04-01 00:59:00,2026-04-01 01:13:00,Kedzie Ave & Milwaukee Ave,CHI00378,Albany Ave & Montrose Ave,CHI01768,41.9297142,-87.7079884,41.961041,-87.705866,casual,14.0,4,0,4,Spring,False,3.487801100415786,False,False
3C53A301F1A29B30,electric_bike,2026-04-01 01:09:00,2026-04-01 01:15:00,,,May St & Taylor St,CHI00322,41.87,-87.68,41.86938,-87.6555,casual,6.0,4,1,4,Spring,False,2.02984310726338,False,False
187E89BB94090A3B,electric_bike,2026-04-01 01:06:00,2026-04-01 01:18:00,,,Paulina St & Division St,CHI00244,41.9,-87.63,41.9035529,-87.6704292,member,12.0,4,1,4,Spring,False,3.3692179656569468,False,False
D5F5A7605B227B2B,electric_bike,2026-04-01 00:54:00,2026-04-01 01:23:00,Rockwell St & Division St,CHI02183,,,41.90275,-87.69202,41.95,-87.65,member,29.0,4,0,4,Spring,False,6.299897294208962,False,False
